url,title,thumbnail
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-timeforrevenge,#TimeForRevenge | Is it the ultimate time for revenge on Pakistan?,15503940775c6922dd8f5f4.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-55yearsvs55months,#55YearsVs55Months | What's your take on #55YearsVs55Months?,15497937785c5ff9f276059.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/number-assertyournationalism-for-years-there-has-been-an-attempt-to-run-down-nationalism,Sunday Debate on #AssertYourNationalism,15485833775c4d81d192908.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-tukdetukdedebate,#TukdeTukdeDebate | Tukde chargesheet exposes 2016 plot,15479773285c444270e3e39.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-whodivides,#WhoDivides | Is the 'unity show' only for votes?,15473723635c3b074be5562.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-jhootpolitics,#JhootPolitics | Is politics of lie a reality ahead of the Lok Sabha elections?,15467688795c31d1ef4d250.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-thetrolldebate,#TheTrollDebate | Did social media trolling peak in 2018?,15461614835c288d4b8d39a.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-savedemocracydebate,#SaveDemocracyDebate | What will they 'save Democracy' from?,15455668415c1f7a798934f.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-2019war,#2019War | Will 2018 verdict impact 2019?,15449501425c16117e52bf8.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-dec11witharnab,#Dec11WithArnab | Who is the pressure on before the big election results? Rahul Gandhi or Narendra Modi?,15443641945c0d20a2f1579.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-mandirmasjiddebate,#MandirMasjidDebate | Who is trying to provoke with Mandir-Masjid politics?,15437423945c03a3ba396ff.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-gaalidebate,#GaaliDebate | Will issues decide or Gaali?,15431401615bfa7341d6d6d.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-legacydebate,#LegacyDebate | Has there been a deliberate attempt to push the legacy of only one family?,15425633655bf1a625d7f55.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-legacydebate,#LegacyDebate | Can one family take credit for modern-day India?,15425265035bf1162732e1f.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-resolveayodhya,#ResolveAyodhya | Should Ayodhya dispute be resolved at the earliest?,15413251695bdec17109614.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-ayodhyadebate,#AyodhyaDebate | Is it about a mandir or about mandir politics?,15407253095bd59a3d5d3b4.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-2019edge,#2019Edge | Who has the edge for 2019?,15376949005ba75cb4e6329.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-outragedebate,#OutrageDebate | Whose outrage is justified: Right or anti-right?,15370944405b9e332845d45.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-sanskardebate,#SanskarDebate | Should people stop using 'Sanskar' to justify everything that is wrong?,15364859105b94ea160db01.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/has-the-time-come-to-number-destroymaoists,Has the time come to #DestroyMaoists?,15358883895b8bcc0574bfe.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-hinducarddebate,#HinduCardDebate | Who’s trying to win the Hindu card ahead of 2019?,15352965485b82c42406e5b.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-thehistorydebate,#TheHistoryDebate | Has the Anti-Right tried to black out a part of history?,15346725675b793eb712bc1.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-thebignrcdebate,#TheBigNRCDebate | Is it time for NRC across India?,15340694665b700adabedcd.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-finallutyensdebate,#FinalLutyensDebate | Is Lutyens' media serving limited interests? ',15334631965b66ca9cf2c49.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-lutyensdebate,#LutyensDebate | Has the 'Lutyens' fallen to irrelevance?,15328518395b5d767fc4aee.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/has-modi-government-lived-up-to-expectations,Sunday Debate on #Modi4Years,15274298895b0abb0169ccb.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-karnatakalesson,#KarnatakaLesson: Unstable alliance vs no alliance,15268329675b019f47938ce.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/isnt-it-time-to-say-no-azadi-and-shut-down-the-azadi-shop,Time to say 'No Azadi',15262229915af8508f85d3a.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/isnt-there-an-anti-women-mindset-across-religion-and-regions,Fight Anti-Women Mindset,15260483125af5a6387ee10.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-2019aboutmodi,#2019AboutModi: The national leadership debate,15250183555ae5eef383294.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-battleovercji,#BattleOverCJI: The biggest debate on impeachment,15244127445adcb1487bc99.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-netasdontpreach,#NetasDontPreach: India forced netas to speak up,15238163285ad39788d80da.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/which-side-is-more-intolerant-right-or-non-right,Battle Of Two Competing Ideologies,15232035465aca3dda6ca4a.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/who-made-religion-the-centrestage-ahead-of-2019,Who made religion the centrestage ahead of 2019?,15226602615ac1f3a57d610.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/will-2019-election-be-fought-on-national-issues-or-regional-issues,Vote for what in 2019?,15219856855ab7a895a12b1.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/nda-or-new-front-who-is-ahead-in-2019-fight,NDA Vs New Front,15213932725aae9e78f1550.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/who-do-you-think-is-provoking-statue-madness,The #StatueDebate Continues,15207670085aa51020852aa.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-wholootedindia,#WhoLootedIndia: NDA or UPA?,15201868945a9c360ef184c.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/who-is-responsible-for-number-niravgate,Sunday Debate on #NiravGate,15189747255a89b70583701.jpeg
https://www.republicworld.com/shows/sunday-debate-with-arnab/sunday-debate-on-number-hardlineonterror,Time To Openly Be Hardline?,15183702795a807de7099ea.jpeg
